question,uncontrollable_thinking,re-experiencing,rigid_standards,emotional_agency
YMHM_1,-0.022206559,0.109452626,0.017620218,-0.039534922
YMHM_2,-0.090080038,0.141296316,-0.009809125,0.007799192
YMHM_3,-0.043244614,0.149854983,-0.014776884,-0.015292398
YMHM_4,0.003612012,0.102355059,-0.018548183,-0.016248099
YMHM_5,-0.052179109,0.139087151,0.00713375,0.029729577
YMHM_6,0.012568493,0.084415853,-0.056384254,-0.025885659
YMHM_7,-0.069478998,0.122147348,0.015798526,0.014083891
YMHM_8,-0.027932759,0.122801214,-0.045078996,-0.025410489
YMHM_9,-0.034382024,-0.000404418,0.13333127,-0.144847572
YMHM_10,-0.00128985,-0.015205079,0.014378582,0.033631377
YMHM_11,0.019096886,-0.052468657,0.103765574,0.002463018
YMHM_12,-0.076656806,0.007883036,0.203421804,0.108579105
YMHM_13,-0.069787338,-0.010468248,0.095207774,-0.124118083
YMHM_14,0.018891596,0.017698104,0.165284389,0.150078005
YMHM_15,-0.058373825,-0.025688087,0.132014568,-0.058090084
YMHM_16,0.034560996,-0.045359367,0.096301253,-0.003765437
YMHM_17,0.00535719,-0.042210938,0.072620107,-0.184633656
YMHM_18,0.04247264,-0.032895384,0.131812159,0.075303375
YMHM_19,0.099118107,-0.056734789,-0.039711085,0.023413759
YMHM_20,0.189060717,-0.092239595,-0.003337158,-0.028786929
YMHM_21,0.204766667,-0.027140184,-0.017822253,-0.000717268
YMHM_22,0.171245169,0.026803745,-0.079165459,-0.049340341
YMHM_23,0.126190027,-0.034235167,-0.033243948,-0.004050072
YMHM_24,-0.002338468,-0.086694958,0.001178609,-0.195211869
YMHM_25,0.052727519,0.024409508,-0.004581702,0.084841577
YMHM_26,0.004232923,0.000671513,0.024095099,0.151422907
YMHM_27,-0.052734638,-0.030380261,0.00840216,0.264222211
YMHM_28,0.004275156,0.060975242,-0.021113618,-0.123877843
YMHM_29,0.037704002,0.049335884,-0.060574399,-0.035046372
YMHM_30,0.039940857,0.039923319,-0.030708908,-0.10953078
YMHM_31,0.0182612,0.018893844,-0.026087038,-0.124287447
YMHM_32,-0.00083519,0.075316072,-0.084488172,-0.224107484
YMHM_33,0.026563476,0.03804662,0.037724497,-0.117252671
YMHM_34,-0.00103913,0.014117988,0.048063906,0.012219434
intercept,-2.955978621,-0.963929251,-2.293727297,1.986511904
